iter	Passed	Remaining
915	1451	133
916	1453	131
917	1454	129
918	1455	128
919	1456	126
920	1457	125
921	1459	123
922	1460	121
923	1461	120
924	1462	118
925	1463	116
926	1465	115
927	1466	113
928	1467	112
929	1468	110
930	1469	108
931	1471	107
932	1472	105
933	1473	104
934	1474	102
935	1475	100
936	1478	99
937	1479	97
938	1480	96
939	1482	94
940	1483	92
941	1484	91
942	1485	89
943	1487	88
944	1488	86
945	1489	85
946	1491	83
947	1492	81
948	1494	80
949	1495	78
950	1496	77
951	1498	75
952	1499	73
953	1500	72
954	1501	70
955	1503	69
956	1504	67
957	1505	66
958	1506	64
959	1508	62
960	1509	61
961	1510	59
962	1511	58
963	1512	56
964	1515	54
965	1516	53
966	1517	51
967	1518	50
968	1520	48
969	1521	47
970	1522	45
971	1524	43
972	1525	42
973	1526	40
974	1528	39
975	1529	37
976	1530	36
977	1532	34
978	1533	32
979	1534	31
980	1536	29
981	1537	28
982	1538	26
983	1540	25
984	1541	23
985	1543	21
986	1544	20
987	1545	18
988	1548	17
989	1549	15
990	1551	14
991	1552	12
992	1553	10
993	1555	9
994	1556	7
995	1558	6
996	1559	4
997	1560	3
998	1562	1
999	1563	0
